Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
assay_scrnaSeq_metadata_template,SysBio scrnaSeq metadata template schema,,"Component, specimenID, libraryID, assay, platform, sampleBarcode, RIN, referenceSet, rnaBatch, libraryBatch, sequencingBatch, libraryPrep, libraryPreparationMethod, libraryVersion, libraryType, isStranded, readStrandOrigin, readLength, runType, totalReads, validBarcodeReads, numberCells, medianGenes, medianUMIs",,FALSE,DataType,,sysbio.metadataTemplates-assay.scrnaSeq,
assay_snpArray_metadata_template,SysBio snpArray metadata template schema,,"Component, specimenID, assay, platform, dnaBatch, arrayBatch, ratio260over280, ratio260over230, GQN",,FALSE,DataType,,sysbio.metadataTemplates-assay.snpArray,
assay_STARRSeq_metadata_template,SysBio STARRSeq metadata template schema,,"Component, specimenID, libraryID, assay, platform, RIN, dnaBatch, referenceSet, rnaBatch, libraryBatch, sequencingBatch, libraryPrep, libraryPreparationMethod, libraryVersion, isStranded, readStrandOrigin, readLength, runType, totalReads, validBarcodeReads, numberCells, medianGenes, medianUMIs, ratio260over280, ratio260over230, GQN",,FALSE,DataType,,sysbio.metadataTemplates-assay.STARRSeq,
assay_TMTquantitation_metadata_template,SysBio TMTquantitation (aka proteomics) metadata template schema,,"Component, specimenID, assay, platform, controlType, batch, batchChannel, TMTType, fragmentation, resolution, multiconsensusStudyFileID",,FALSE,DataType,,sysbio.metadataTemplates-assay.TMTquantitation,
assay_wholeExomeSeq_metadata_template,SysBio wholeExomeSeq metadata template schema,,"Component, specimenID, libraryID, assay, platform, referenceSet, dnaBatch, sequencingBatch, libraryPrep, libraryPreparationMethod, readLength, runType, totalReads, ratio260over280, ratio260over230, GQN",,FALSE,DataType,,sysbio.metadataTemplates-assay.wholeExomeSeq,
assay_wholeGenomeSeq_metadata_template,SysBio wholeGenomeSeq (aka WGS) metadata template schema,,"Component, specimenID, libraryID, assay, platform, referenceSet, dnaBatch, sequencingBatch, libraryPrep, libraryPreparationMethod, readLength, runType, totalReads, numberCells, ratio260over280, ratio260over230, GQN",,FALSE,DataType,,sysbio.metadataTemplates-assay.wholeGenomeSeq,
biospecimen_drosophila_metadata_template,SysBio drosophila biospecimen metadata template schema,,"Component, specimenID, bodyPart, tissueWeight, nucleicAcidSource, genotype, ageDays, nIndividuals, nMale, nFemale, temperature",,FALSE,DataType,,sysbio.metadataTemplates-biospecimen.drosophila,
biospecimen_invitro_metadata_template,SysBio in vitro biospecimen metadata template schema,,"Component, individualID, specimenID, specimenIdSource, modelSystemType, sourceCell, cellType, reprogrammingMethod, differentiationMethod, passage, terminalDifferentiationPoint, samplingAge, samplingAgeUnits, treatmentType, nucleicAcidSource, assay",,FALSE,DataType,,sysbio.metadataTemplates-biospecimen.invitro,
individual_animal_metadata_template,SysBio individual animal metadata template schema,,"Component, individualID, individualIdSource, species, sexChromosome, dateBirth, dateDeath, sex, genotype, genotypeBackground, room, litter, matingID, treatmentDose, modelSystemName",,FALSE,DataType,,sysbio.metadataTemplates-individual.animal,
analysisType,Type of analysis,"ANOVA, assessment, batch effect correction, chromatin accessible quantitative trait loci detection, Clustering, comparison, Copy number estimation, correlation, covariate specification, data mining, data normalization, de-novo assembly, differential expression, differential methylation, differential network anaysis, DNA methylation imputation, dose response study, Enrichment analysis, EWAS, expression quantitative trait loci detection, Gene expression comparison, Genome-Wide Association, genome-wide pleiotropy, genotypeAncestry, genotype imputation, hidden confounder detection, manifold learning, Mendelian randomization analysis, methylation quantitative trait loci detection, network analysis, network driver detection, outlier detection, peak calling, Polygenic Risk Scores, principal component analysis, protein quantitative trait loci detection, purity, quality control, search engine output files, Sequence alignment, somatic mutation calling, statistical network reconstruction, structural variation detection, Supervised Machine Learning, transcript quantification, variancePartition, Variant calling, visualization",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-analysis.analysisType-0.0.13,
arrayBatch,The hybridization batch the sample was in,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-batch.arrayBatch-0.0.2,
batch,Batch specimen was processed in,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-batch.batch-0.0.2,
batchChannel,TMT channel the sample is labeled with,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-batch.batchChannel-0.0.2,
dnaBatch,DNA isolation batch,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-batch.dnaBatch-0.0.2,
libraryBatch,Batch library was prepared in,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-batch.libraryBatch-0.0.2,
nanostringBatch,The batch of samples run on a nanostring panel. Twelve samples can be processed together at once on a machine.,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-batch.nanostringBatch-0.0.2,
rnaBatch,Batch in which RNA sample was isolated,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-batch.rnaBatch-0.0.2,
sequencingBatch,Batch library was sequenced in,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-batch.sequencingBatch-0.0.2,
transposaseBatch,Transposition reaction batch,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-batch.transposaseBatch-0.0.2,
apoeGenotype,Apolipoprotein E genotype,"22, 23, 24, 33, 34, 44",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.apoeGenotype-0.0.2,
Braak,Braak Stage - a semiquantitative measure of serverity of neurofibrillary tangle pathology,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.Braak-0.0.2,
causeDeath,The specific injury or disease that lead to death,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.causeDeath-0.0.2,
CERAD,A semiquantitative measure of neuritic plaques,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.CERAD-0.0.2,
genotype,Genotype common name,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.genotype-0.0.2,
genotypeBackground,Genetic background of the model,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.genotypeBackground-0.0.2,
litter,Animal litter,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.litter-0.0.2,
mannerDeath,The determination of how the injury or disease lead to death,"accident, homicide, natural causes, suicide, undetermined",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.mannerDeath-0.0.2,
matingID,Identifies the animals that were mated to produce the animal in question,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.matingID-0.0.2,
room,Room the animal was housed in,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.room-0.0.2,
sexChromosome,"Sex identified by SNP genotype (e.g XX, XY)",,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.sexChromosome-0.0.2,
referenceSet,"A set of references (e.g., canonical assembled contigs) which defines a common coordinate space for comparing reference-aligned experimental data.","1000 Genomes phase 3, GRCh38, GRCh37, GRCm38, MMUL1.0, HRC",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-curatedData.referenceSet-0.0.4,
ageDays,Average age in days of the Drosophila individuals in the sample,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-demographics.ageDays-0.0.2,
ageDeath,Age of death,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-demographics.ageDeath-0.0.2,
ageDeathUnits,The death age unit of measure,"days, gestational weeks, months, PCW, weeks, years",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-demographics.ageDeathUnits-0.0.4,
dateBirth,Individual date of birth,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-demographics.dateBirth-0.0.2,
dateDeath,Individual date of death,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-demographics.dateDeath-0.0.2,
ethnicity,Ethnicity of the donor,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-demographics.ethnicity-0.0.2,
race,Race,"American Indian or Alaska Native, Asian, Black or African American, Native Hawaiian or Other Pacific Islander, White",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-demographics.race-0.0.2,
yearsEducation,Years of education starting with kindergarten,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-demographics.yearsEducation-0.0.2,
ageAssessment,Age of clinical or behavioral assessment.,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.ageAssessment-0.0.2,
ageAssessmentUnits,Age of assessment units.,"days, gestational weeks, months, PCW, weeks, years",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.ageAssessmentUnits-0.0.2,
assay,The technology used to generate the data in this file,"16SrRNAseq, active avoidance learning behavior, anxiety-related behavior, ATACSeq, atomicForceMicroscopy, autoradiography, Baker Lipidomics, Biocrates Bile Acids, Biocrates p180, Biocrates Q500, bisulfiteSeq, Blood Chemistry Measurement, brightfieldMicroscopy, cellViabilityAssay, ChIPSeq, CITESeq, contextual conditioning behavior, DNA optical mapping, electrochemiluminescence, elevated plus maze test, elevated T maze apparatus method, ELISA, errBisulfiteSeq, exomeSeq, FIA-MSMS, FitBark, frailty assessment, Genotyping, HI-C, HiChIPseq, high content screen, HPLC, HPLC-MSMS, Immunocytochemistry, immunofluorescence, immunohistochemistry, in vivo bioluminescence, ISOSeq, jumpingLibrary, kinesthetic behavior, label free mass spectrometry, Laser Speckle Imaging, LC-MS, LC-MSMS, LC-SRM, LFP, liquid chromatography-electrochemical detection, lncrnaSeq, locomotor activation behavior, LTP, MDMS-SL, memory behavior, Metabolon, methylationArray, MIB/MS, microRNAcounts, mirnaArray, mirnaSeq, MRI, mRNAcounts, MudPIT, m6A-rnaSeq, nextGenerationTargetedSequencing, Nightingale NMR, NOMe-Seq, novelty response behavior, open field test, oxBS-Seq, pharmacodynamics, pharmacokinetics, photograph, polymeraseChainReaction, Positron Emission Tomography, proximity extension assay, questionnaire, Real Time PCR, Ribo-Seq, rotarod performance test, rnaArray, rnaSeq, RPPA, sandwich ELISA, Sanger sequencing, scale, scCGIseq, scirnaSeq, scrnaSeq, scwholeGenomeSeq, SiMoA, snpArray, snrnaSeq, spontaneous alternation, STARRSeq, TMT quantitation, tractionForceMicroscopy, UPLC-MSMS, UPLC-ESI-QTOF-MS, Vernier Caliper, von Frey test, westernBlot, wheel running, whole-cell patch clamp, wholeGenomeSeq, Zeno Electronic Walkway",,,TRUE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.assay-0.0.18,
assayTarget,"","ARID1B, ARID3A, ARNT, ASCL1, ASH1L, ASH2L, ATF7, BCL11A, BHLHE40, BHLHE41, BMI1, BRCA1, BRD4, CC2D1A, CHD4, CLOCK, CREB1, CREM, CTCF, DEAF1, DPF2, EED, EGR1, EHMT2, E2F1, EWSR1, EZH2, FOXK2, FOXP1, GABPB1, GATA4, GATAD2A, GATAD2B, GMEB1, H3K27ac, H3K27me3, H3K36me3, H3K4me1, H3K4me3, H3K9ac, H3K9me2, H3K9me3, HCFC1, HNRNPK, IE_V1-V3, IgG, input, KAT2B, KDM4A, KLF16, KLF5, LaminB, MAZ, MEF2A, MEIS2, MITF, NCOA2, NCOR1, NEUROD1, NFIB, NFIC, NONO, NR2F1, NRF1, NR2F2, NR3C1, OLIG2, PKNOX1, Pol2, R-loops, RAD21, RB1, RELB, REST, SATB2, SIN3A, SIN3B, SIRT1, SIX4, SKIL, SMARCA5, SMC3, SON, SOX8, SP1, SP4, SRF, SREBP2, TAF1, TBR1, TCF12, TCF7L2, TDP43, TRIM28, YBX1, YBX3, YY1, ZBTB7B, ZEB1, ZEB2, ZFP91, ZHX1, ZKSCAN1, ZNF143, ZNF207, ZNF24, ZNF318, ZNF384, ZNF407, ZNF592, ZSCAN29",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.assayTarget-0.0.6,
batchSize,Size of batch,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.batchSize-0.0.2,
bindingDensity,The number of optical features per square micron for each lane. (Definition is from https://www.nanostring.com/wp-content/uploads/2020/12/Gene_Expression_Data_Analysis_Guidelines.pdf),,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.bindingDensity-0.0.2,
bodyPart,Named areas of the body.,head,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.bodyPart-0.0.2,
brainWeight,Weight of brain in grams,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.brainWeight-0.0.2,
cellType,A cell type is a distinct morphological or functional form of cell.,"A549, arachnoid, astrocytes, B-lymphocytes, CD138+, CD8+ T-Cells, CNON, dopaminergic neurons, Embryonic stem cells, epithelial, epithelial-like, fibroblast, GABAergic neurons, GLUtamatergic neurons, immune cell, iPSC, iPSC-derived astrocytes, iPSC-derived glia, iPSC-derived neuron, iPSC-derived neuronal progenitor cell, iPSC-derived telencephalic organoids, lymphoblast, lymphoblastoid cell line, macrophages, meningioma, microglia, monocytes, monocyte-derived microglia, NCX NES, NeuN-, NeuN+, neural progenitor cell, neuron, oligodendrocyte, peripheral blood mononuclear cell, polygonal, round, schwann, Schwann cell precusor, schwannoma, SH-SY5Y",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.cellType-0.0.8,
chromosome,A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information; number or designation of the particular chromosome that the data is associated with.,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, X, Y, mitochondrial",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.chromosome-0.0.4,
contrastAgent,Substance administered during an imaging procedure that allows delineation of internal structures.,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.contrastAgent-0.0.2,
controlType,Control samples suitable for normalization and batch correction,"AIBL pool, Baker pool, GIS, GoldenWest, NIST SRM 1950, study pool, water plus Baker ISTD",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.controlType-0.0.4,
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","normalized, dataMatrix, raw, processed, metadata",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.dataSubtype-0.0.2,
dataType,Types of input/output data in bioinformatics pipelines,"Volume, Weight, Pharmacokinetic Study, genomicVariants, behavior process, metabolomics, image, geneExpression, isoformExpression, proteomics, kinomics, drugScreen, drugCombinationScreen, cellularPhysiology, chromatinActivity, surveyData, network, clinical, immunoassay, electrophysiology, metagenomics, epigenetics, pharmacology",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.dataType-0.0.3,
diagnosis,A diagnosis is the result of a medical investigation to identify a disorder from its signs and symptoms.,"AD-DS, Affective Disorder, Alzheimer Disease, amyotrophic lateral sclerosis, anxiety, Autism Spectrum Disorder, Bipolar Disorder, Bladder Cancer, Brain Cancer, Breast Cancer, Cervical Cancer, Colon Cancer, control, corticobasal degeneration disorder, CS-DS, dementia, dystonia, essential tremor, Fibrocystic Breast Disease, frontotemporal dementia, gliosis, hypoxia, Juvenile Myelomonocytic Leukemia, Leukemia, Lewy body disease, Lung Cancer, Major Depressive Disorder, MCI-DS, mild cognitive impairment, multiple system atrophy, Neurofibromatosis 1, Neurofibromatosis 2, no cognitive impairment, Not Applicable, obesity, obsessive compulsive disorder, Ovary Cancer, Pancreatic Cancer, Parkinson's disease, pathological aging, progressive supranuclear palsy, Prostate Cancer, Schizophrenia, Skin Cancer, Substance Related Disorder, Tourette Syndrome, traumatic brain injury, type 2 diabetes mellitus, vascular dementia, Williams Syndrome",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.diagnosis-0.0.11,
diagnosisCriteria,"If a diagnosis is provided, the criteria it is based on",,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.diagnosisCriteria-0.0.2,
differentiationMethod,The general strategy by which a reprogrammed or pluripotent cell is differentiated into a target cell.,"directed differentiation, Ngn2 induction",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.differentiationMethod-0.0.2,
fastingState,Was individual fasting when sample was taken (true/false)?,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.fastingState-0.0.2,
fieldStrength,"The intensity of an electric, magnetic, or other field. Value should include unit of measurement.",,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.fieldStrength-0.0.2,
fragmentation,Specifies the mode by which MS2 and MS3 ions are generated,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.fragmentation-0.0.2,
gDNAconc,gDNA Concentration in ng per mL,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.gDNAconc-0.0.3,
geneRLF,Reporter Library File (RLF) used to associate gene names with counts specified by the user in the Cartridge Definition File (https://www.genetics.pitt.edu/sites/default/files/pdfs/nCounter_Gene_Expression_Data_Analysis_Guidelines.pdf),,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.geneRLF-0.0.2,
individualID,Identifying string linked to the individual or animal being studied,,,,TRUE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.individualID-0.0.2,
individualIdSource,Database or repository to which individual ID maps,"ABN, ABR, ADNI, BannerSun, BEB_Miller, Clotomics_PAIKEA_MSSM, DongLab, Einstein, Emory, Geschwind, HBTRC, JAX, LIBD, LivingBrainProject_MSSM, MayoBrainBank, Mayo Clinic, MSSM, NDRI, Newcastle, NICHD, NIMH-HBCC, Novogenix, NYBB, Oxford, Penn, PGP, Pitt, Pritzker, Rush, Sestan, SMRI, StemExpress, TAA, UCI_TMF, UCSF, UM-BTB, UW-CDL, Vaccarino, XCell Science, Yale, IU",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.individualIdSource-0.0.15,
ionMode,"Ionization polarity (positive, negative, polar)",,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.ionMode-0.0.2,
isMultiSpecimen,Boolean flag indicating whether or not a file has data for multiple specimens,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.isMultiSpecimen-0.0.2,
isPostMortem,Was the sample taken after death (true/false),,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.isPostMortem-0.0.2,
lambdaDNAconc,Lambda DNA spike-in concentration in ng,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.lambdaDNAconc-0.0.2,
ligand,"An ion, molecule or molecular group that binds to a substance to form a larger complex.",,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.ligand-0.0.2,
metaboliteType,Class of metabolite.,"acylcarnitines, acylglycerols, amino acids, bile acids, biogenic amines, carbohydrates, ceramides, cholesterol, cofactors and vitamins, drugs, eicosanoids, endocannabinoids, fatty acids, glycerides, glycerolipid, glycerophospholipid, ketones, lipids, lipoproteins, lysophosphatidylcholine, nucleotides, oxylipins, peptides, phosphatidylcholine, phosphatidylethonalamines, phospholipids, plasmalogens, sphingolipids, steroids, sterols, sugars, TCA cycle metabolites, xenobiotics",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.metaboliteType-0.0.4,
metadataType,"For files of dataSubtype: metadata, a description of the type of metadata in the file.","analytical covariates, assay, biospecimen, data dictionary, individual, manifest, protocol",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.metadataType-0.0.3,
modelSystemType,Type of model system.,"animal, cerebral organoid, immortalized cell line, iPSC, organoid, primary cell culture",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.modelSystemType-0.0.2,
MRItype,The type of MRI assay performed.,"DTI, functional, structural",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.MRItype-0.0.2,
multiconsensusStudyFileID,"F-number assigned by Termo Proteome Discoverer software to different batches (plexes) of RAW (direct Thermo mass spectrometer output) files (F01, F02, etc.)",,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.multiconsensusStudyFileID-0.0.2,
nFemale,Number of female individuals in a pooled Drosophila sample,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.nFemale-0.0.2,
